Metric,Value
eval_loss,0.579874575138092
eval_accuracy,0.8462996941896025
eval_subset_accuracy,0.1547400611620795
eval_precision,0.41211968173570235
eval_recall,0.5328969809940596
eval_f1,0.4582123230507772
eval_runtime,3.9144
eval_samples_per_second,417.693
eval_steps_per_second,52.371
epoch,20.0
hyperparameters,"{'learning_rate': 5.158839193923023e-05, 'weight_decay': 0.0003430024119397, 'per_device_train_batch_size': 16, 'class_weights': [8.243179722882376, 0.1149301645470875, 0.542420073972456, 0.694605576778663, 3.2499343669620138, 3.748391179567205, 0.0264985252198922, 0.0180457994027999, 0.0150483299085518, 3.2443772006605003]}"

Classification Report
Paraphrase Type,Precision,Recall,F1-score,Support
addition/deletion,0.8762169680111266,0.9495101733232856,0.9113924050632911,1327.0
change of order,0.4140625,0.5247524752475248,0.462882096069869,303.0
derivational changes,0.07920792079207921,0.24242424242424243,0.11940298507462686,33.0
inflectional changes,0.4394904458598726,0.5307692307692308,0.4808362369337979,130.0
punctuation changes,0.6236933797909407,0.8026905829596412,0.7019607843137254,223.0
same polarity substitution (contextual),0.7673397717295873,0.7852650494159928,0.7761989342806395,1113.0
semantic based,0.1411764705882353,0.19047619047619047,0.16216216216216217,63.0
spelling changes,0.27314814814814814,0.4097222222222222,0.3277777777777778,144.0
subordination and nesting changes,0.2524752475247525,0.5425531914893617,0.34459459459459457,94.0
synthetic/analytic substitution,0.2543859649122807,0.35080645161290325,0.29491525423728815,248.0
micro avg,0.633877269593197,0.7498640565524741,0.6870095902353966,3678.0
macro avg,0.41211968173570235,0.5328969809940596,0.4582123230507772,3678.0
weighted avg,0.6732270545331871,0.7498640565524741,0.7067737264416211,3678.0
samples avg,0.6494597349643221,0.7822193097422455,0.6739900093111102,3678.0
