trial;loss-1;rewards/accuracies-1;rewards/margins-1;loss-2;rewards/accuracies-2;rewards/margins-2;loss-3;rewards/accuracies-3;rewards/margins-3;loss-4;rewards/accuracies-4;rewards/margins-4;loss-5;rewards/accuracies-5;rewards/margins-5;loss-6;rewards/accuracies-6;rewards/margins-6;loss-7;rewards/accuracies-7;rewards/margins-7;loss-8;rewards/accuracies-8;rewards/margins-8;loss-9;rewards/accuracies-9;rewards/margins-9;loss-10;rewards/accuracies-10;rewards/margins-10
"(learning_rate=5e-5, per_device_train_batch_size=2, gradient_accumulation_steps=4, weight_decay=0, warmup_ratio=0.1, beta=0.1, lr_scheduler_type=""linear"")";0,9;0,6;0,6;0,84;0,65;2,1;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=1e-4, per_device_train_batch_size=2, gradient_accumulation_steps=4, weight_decay=0, warmup_ratio=0.1, beta=0.1, lr_scheduler_type=""linear"")";0,86;0,6;0,72;0,88;0,72;2,42;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=1e-5, per_device_train_batch_size=2, gradient_accumulation_steps=4, weight_decay=0, warmup_ratio=0.1, beta=0.1, lr_scheduler_type=""linear"")";0,72;0,62;1,09;0,89;0,65;2,01;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=1e-6, per_device_train_batch_size=2, gradient_accumulation_steps=4, weight_decay=0, warmup_ratio=0.1, beta=0.1, lr_scheduler_type=""linear"")";0,63;0,66;0,23;0,61;0,65;0,32;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-5, per_device_train_batch_size=1, gradient_accumulation_steps=4, weight_decay=0, warmup_ratio=0.1, beta=0.1, lr_scheduler_type=""linear"")";0,79;0,6;1,22;0,96;0,66;2,48;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-5, per_device_train_batch_size=2, gradient_accumulation_steps=8, weight_decay=0, warmup_ratio=0.1, beta=0.1, lr_scheduler_type=""linear"")";0,77;0,6;0,82;0,77;0,67;1,8;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-5, per_device_train_batch_size=2, gradient_accumulation_steps=4, weight_decay=1e-2, warmup_ratio=0.1, beta=0.1, lr_scheduler_type=""linear"")";0,9;0,61;0,66;0,8;0,68;2,15;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-5, per_device_train_batch_size=2, gradient_accumulation_steps=4, weight_decay=0, warmup_ratio=0.3, beta=0.1, lr_scheduler_type=""linear"")";0,78;0,65;0,92;0,83;0,66;2,35;;;;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=1e-4, per_device_train_batch_size=1, gradient_accumulation_steps=8, warmup_ratio=0.3, weight_decay=1e-2, beta=0.1, lr_scheduler_type=""linear"")";0,87;0,56;0,55;0,89;0,66;1,66;0,92;0,64;2,92;0,8;0,67;3,18;0,89;0,7;4,08;;;;;;;;;;;;;;;
"(learning_rate=5e-5,  per_device_train_batch_size=1, gradient_accumulation_steps=4, warmup_ratio=0.3, weight_decay=1e-2,beta=0.1, lr_scheduler_type=""linear"")";0,69;0,65;0,98;1,09;0,59;2,1;1,48;0,6;3,64;1,3;0,65;2,89;1,43;0,61;5;;;;;;;;;;;;;;;
