trial;loss-1;rewards/accuracies-1;rewards/margins-1;loss-2;rewards/accuracies-2;rewards/margins-2;loss-3;rewards/accuracies-3;rewards/margins-3;loss-4;rewards/accuracies-4;rewards/margins-4;loss-5;rewards/accuracies-5;rewards/margins-5;loss-6;rewards/accuracies-6;rewards/margins-6;loss-7;rewards/accuracies-7;rewards/margins-7;loss-8;rewards/accuracies-8;rewards/margins-8;loss-9;rewards/accuracies-9;rewards/margins-9;loss-10;rewards/accuracies-10;rewards/margins-10
"(learning_rate=1e-6, warmup_ratio=0, weight_decay=0, beta=0.1, lr_scheduler_type=""linear"")";24,19;0,66;0;23,54;0,78;0,01;23,19;0,63;0,02;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=1e-5, warmup_ratio=0, weight_decay=0, beta=0.1, lr_scheduler_type=""linear"")";22,04;0,68;0,08;20,85;0,64;0,11;20,43;0,59;0,12;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-6, warmup_ratio=0, weight_decay=0, beta=0.1, lr_scheduler_type=""linear"")";22,27;0,66;0,05;20,73;0,69;0,09;19,98;0,69;0,1;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-6, warmup_ratio=0.1, weight_decay=0, beta=0.1, lr_scheduler_type=""linear"")";21,69;0,64;0,05;20,31;0,66;0,09;19,7;0,68;0,11;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-6,  warmup_ratio=0.1, weight_decay=0.01, beta=0.1, lr_scheduler_type=""linear"")";21,67;0,64;0,05;20,64;0,62;0,08;19,69;0,7;0,1;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=5e-6, warmup_ratio=0.1, weight_decay=0.01, beta=0.2, lr_scheduler_type=""linear"")";5,42;0,61;0,08;5,27;0,62;0,1;5,1;0,65;0,13;;;;;;;;;;;;;;;;;;;;;
"(learning_rate=7e-6, warmup_ratio=0.1, weight_decay=0.01, beta=0.15, lr_scheduler_type=""cosine"")";9,52;0,61;0,08;9,53;0,64;0,12;9,14;0,67;0,15;9,62;0,61;0,16;9,62;0,62;0,16;;;;;;;;;;;;;;;
"(learning_rate=6e-6, warmup_ratio=0.1, weight_decay=0.01,  beta=0.15, lr_scheduler_type=""linear"")";9,52;0,61;0,07;9,53;0,67;0,11;8,85;0,7;0,14;9,52;0,61;0,15;9,31;0,65;0,15;;;;;;;;;;;;;;;
"(learning_rate=5e-6, warmup_ratio=0.1, weight_decay=0.01, beta=0.10, lr_scheduler_type=""cosine_with_restarts"")";21,86;0,65;0,04;20,34;0,68;0,1;19,97;0,69;0,13;20,07;0,67;0,13;20;0,67;0,14;;;;;;;;;;;;;;;
"(learning_rate=6e-6, warmup_ratio=0.3, weight_decay=0.01, beta=0.2, lr_scheduler_type=""linear"")";5,4;0,64;0,05;5,65;0,62;0,11;4,8;0,64;0,15;5,12;0,64;0,17;5,22;0,62;0,16;;;;;;;;;;;;;;;
